#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-02-04T22:56:07 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ63dee04aa90d1	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/506/150&tab:{J/MNRAS/506/150/stars}&key:source=J/MNRAS/506/150/stars&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/506/150/stars
#-order=I
#-out=GALAH
#-out=Flagsp
#Flagsp=32
#-out=Teff
#-out=logg
#-out=[Fe/H]
#

#RESOURCE=yCat_75060150
#Name: J/MNRAS/506/150
#Title: The GALAH+ Survey DR3 (Buder+, 2021)
#Coosys	H_2015.500:	ICRS
#Table	J_MNRAS_506_150_stars:
#Name: J/MNRAS/506/150/stars
#Title: GALAH DR3 main all stars
#Column	GALAH	(I15)	GALAH identifier (sobject_id)	[ucd=meta.id;meta.main]
#Column	Flagsp	(I4)	Stellar parameter quality flag (flag_sp) (1)	[ucd=meta.code]
#Column	Teff	(F7.2)	? Spectroscopic effective temperature (used for fitting) (teff)	[ucd=phys.temperature.effective]
#Column	logg	(F9.6)	? Surface gravity (not fitted via spectra if wg4_pipeline not free) (logg)	[ucd=phys.gravity]
#Column	[Fe/H]	(F9.6)	? Fe atomic abundance from Fe lines (final, 1D-NLTE) (fe_h)	[ucd=phys.abund.Fe]
GALAH;Flagsp;Teff;logg;[Fe/H]
 ; ;K;[cm/s2];[-]
---------------;----;-------;---------;---------
170603008301249;  32;5810.33; 3.806859;-0.388827
170603008301279;  32;5833.61; 4.213552;-0.323927
170604001601009;  32;6486.72; 3.451374;-0.651211
170604002101031;  32;5980.68; 4.147672;-0.534197
170604002101133;  32;5951.12; 4.034281;-0.317345
170604002101152;  32;6044.05; 4.101561;-0.430286
170604002101237;  32;5757.42; 3.952498;-0.390237
170604002101258;  32;6366.10; 3.805276;-0.676400
170604002101338;  32;5629.45; 3.691408;-0.134055
170604002101368;  32;6428.66; 3.976559;-0.468161
170604003101149;  32;6001.39; 4.051259;-0.548651
170604003101223;  32;6564.70; 3.841927;-0.427591
170604003101226;  32;6089.91; 3.878610;-0.647212
170604003101354;  32;6155.86; 3.911068;-0.557794
170604003601018;  32;6128.83; 3.679392;-0.917213
170604004101036;  32;6076.71; 3.840054;-0.682411
170604004101047;  32;6004.44; 4.072794;-1.080625
170604004101078;  32;6065.69; 4.071335;-0.621509
170604004101104;  32;6008.65; 3.763669;-0.817779
170604004101277;  32;6342.67; 3.984514;-0.351152
170604004101360;  32;5394.22; 3.653561;-0.860238
170604005101069;  32;6018.00; 3.976097;-0.590306
170604005101082;  32;5755.81; 4.149060;-0.244511
170604005101297;  32;5951.82; 3.988900;-0.330464
170604005101331;  32;5975.29; 4.230144;-0.543008
170604005101343;  32;6060.36; 3.916348;-0.261580
170604005101351;  32;5946.10; 3.957959;-0.433737
170614002101377;  32;5577.83; 4.038749;-0.343381
170614002601076;  32;5477.48; 3.972573;-0.279143
170614002601174;  32;5511.66; 4.344552; 0.071283
170614002601179;  32;5983.87; 4.115332;-0.559039
170614002601297;  32;5702.19; 4.090484;-1.121112
170614002601299;  32;5373.87; 4.131705;-0.084762
170614003101171;  32;5511.31; 3.999627;-0.241909
170614003101179;  32;6333.13; 3.957920;-0.742455
170614003601188;  32;5601.57; 3.828552; 0.177423
170614003601189;  32;5841.39; 3.769191;-1.390776
170614003601366;  32;5971.79; 4.084748;-0.277543
170614004101005;  32;5995.22; 3.937986;-0.353476
170614004101045;  32;5933.21; 3.979000;-0.121523
170614004101124;  32;5742.21; 3.882394;-0.415021
170614004101125;  32;5558.46; 3.844472;-0.378165
170614004101140;  32;5373.53; 4.108319;-0.347398
170614004101163;  32;5708.87; 4.020504; 0.298098
170614004101271;  32;6048.72; 3.988893;-0.459167
170614004601079;  32;5744.70; 4.044263;-0.615122
170614004601106;  32;5867.42; 3.978654;-0.437373
170614004601274;  32;5637.93; 3.789724; 0.096276
170614004601308;  32;5946.68; 3.961278;-0.216126
170614005101038;  32;5679.27; 3.999714;-0.812798
170614005101087;  32;5758.14; 3.948763;-0.959177
170614005101176;  32;5488.89; 4.110536;-0.215899
170614005101329;  32;6088.80; 3.776437;-0.528936
170614005101342;  32;5538.76; 4.147471; 0.111068
170615002101077;  32;6021.73; 3.942985;-0.269514
170615002101104;  32;5536.26; 3.933209;-0.312626
170615002101266;  32;6361.56; 3.649476;-0.559104
170615002101351;  32;6348.99; 3.716000; 0.431743
170615003401172;  32;5270.01; 3.255093;-0.051016
170615003901180;  32;6562.27; 3.909450;-0.858736
170615003901321;  32;5429.46; 3.681214; 0.089039
170615003901375;  32;6747.75; 3.503769;-0.556586
170615004401159;  32;5501.18; 4.168287;-0.350676
170615004401221;  32;6329.51; 3.944649;-0.392807
170615004901145;  32;6035.67; 3.696116;-0.372300
170615004901173;  32;6411.21; 4.017360;-0.655054
170615004901188;  32;6545.86; 3.609618;-0.569520
170615004901208;  32;5707.36; 4.061862;-0.591074
170615004901298;  32;5494.39; 3.670277;-0.513482
170710001601020;  32;6207.10; 3.785221;-0.158115
170710001601033;  32;6146.35; 3.578990;-0.189878
170710001601210;  32;5614.71; 3.932021;-0.308270
170710001601290;  32;5925.49; 3.856272;-0.902156
170710002201055;  32;6518.83; 3.959992;-0.806609
170710002201237;  32;6436.00; 3.775895;-0.812091
170710002701142;  32;5584.30; 4.161823;-0.468787
170710002701191;  32;6168.11; 3.822925;-1.118465
170710002701329;  32;5431.35; 4.097663; 0.045843
170710002701332;  32;6060.29; 3.920713;-0.163734
170710002701391;  32;6041.18; 3.938822;-0.568987
170710003201029;  32;5720.98; 4.089922;-0.419054
170710003201065;  32;5478.01; 3.839334;-0.480020
170710003201112;  32;6152.38; 3.943448;-0.380329
170710003201124;  32;5658.38; 3.850429;-0.016429
170710003201125;  32;5797.41; 4.014081;-0.317030
170710003201215;  32;5309.57; 3.940394;-0.577806
170710003201239;  32;5568.06; 4.087232; 0.084426
170710003201323;  32;5431.38; 4.216632;-0.085032
170710003201365;  32;5926.16; 4.206102;-0.661368
170710003801095;  32;5566.83; 4.047593;-0.321003
170710003801328;  32;5935.92; 3.816172;-0.750143
170711001501393;  32;5937.20; 3.512388;-0.326734
170711002001057;  32;5666.06; 3.593089;-0.376474
170711002001063;  32;6194.18; 3.974975;-0.549817
170711002001155;  32;6295.86; 4.123644;-0.160494
170711002001156;  32;5656.08; 3.865920;-0.053314
170711002001376;  32;6121.88; 4.067382;-0.063486
170711002501021;  32;5592.64; 4.014452;-0.307347
170711002501147;  32;5839.48; 3.994082;-0.425655
170711002501166;  32;6023.96; 3.782708;-0.480373
170711003001045;  32;6111.46; 3.986013;-0.615138
